id;question;expected_answer;context_hint;category;difficulty;Reference_Chunks
18;Was macht den Standort Köln attraktiv?;Köln wird als Stadt beschrieben, die für Lebensfreude, Toleranz und Weltoffenheit steht. Die Region bietet vielfältige Kontakte zur beruflichen Praxis und einen Branchenmix mit u. a. Medien- und Kreativwirtschaft, Logistik und Life Sciences mit wichtiger Rolle auf Bundesebene.;https://wiso.uni-koeln.de/de/studium/bachelor;Allgemein;medium;"Attraktiver Standort
Köln ist für seine Lebensfreude, Toleranz und Weltoffenheit bekannt. Die Metropolregion ist nicht nur als Wissenschaftsstandort interessant, sondern bietet Studierenden auch eine breite Palette von Kontaktmöglichkeiten zur beruflichen Praxis. Die Region Region über einen attraktiven und zukunftsfähigen Branchenmix, in dem unter anderem die Medien- und Kreativwirtschaft, Logistik und die Life Sciences deutschlandweit eine Schlüsselstellung einnehmen."
19;Was ist „Chat with Paco“?;„Chat with Paco“ ist ein KI-Angebot („Paco“), das jederzeit faktenbasierte Fragen zum Wunschstudiengang beantwortet.;https://wiso.uni-koeln.de/de/studium/bachelor;Services/Info;easy;"Paco, deine künstliche Intelligenz zum Studium an der WiSo-Fakultät der Universität zu Köln, beantwortet dir jederzeit alle faktenbasierten Fragen zu deinem Wunschstudiengang! - Du suchst schnelle Infos zu, Zulassungsverfahren oder allgemeinen Fragen zur Universität zu Köln?

Dann ist Paco genau das Richtige für dich!*"
20;Welche Verbundstudiengänge mit WiSo-Beteiligung werden angeboten?;Es werden folgende Verbundstudiengänge der Philosophischen Fakultät angeboten: Bachelorstudiengang Regionalstudien China, Bachelorstudiengang Regionalstudien Lateinamerika, Bachelorstudiengang Regionalstudien Ost- und Mitteleuropa, Bachelorstudiengang Medienwissenschaft, Bachelorstudiengang Wirtschaftsmathematik, Bachelorstudiengang Mathematik, Bachelor Geographie, Bachelor Klinische Pflege;https://wiso.uni-koeln.de/de/studium/bachelor;Bachelor-Studium;hard;"Neben den Bachelorstudiengängen der WiSo-Fakultät gibt es auch weitere Studiengänge mit WiSo-Beteiligung. Die WiSo-Fakultät bietet in den folgenden Verbundstudiengängen Wahlpflichtfächer an, die Studiengänge starten alle nur zum Wintersemester:

Verbundstudiengänge mit WiSo-Beteiligung (Philosophische Fakultät) / Fachliche Fragen zu Ihrem Wahlpflichtfach beantwortet gerne der WiSo Student Service Point. Für alle anderen Fragen wenden Sie sich bitte an das Prüfungsamt und den Studierendenservice der Philosophischen Fakultät.

Bachelorstudiengang Regionalstudien China: Wahlpflichtfächer „Betriebswirtschaftslehre“, „Sozialwissenschaften“ und „Volkswirtschaftslehre“
Bachelorstudiengang Regionalstudien Lateinamerika: Wahlpflichtfächer „Sozialwissenschaften“ und „Volkswirtschaftslehre“
Bachelorstudiengang Regionalstudien Ost- und Mitteleuropa: Wahlpflichtfächer „Sozialwissenschaften“ und „Volkswirtschaftslehre“
Bachelorstudiengang Medienwissenschaft: Wahlpflichtfach „Medienmanagement und Medienökonomie"" /
Mathematik und Wirtschaftsmathematik (Mathematisch-Naturwissenschaftliche Fakultät)
Geographie (Mathematisch-Naturwissenschaftliche Fakultät)
Klinische Pflege - Studiengang mit WiSo-Beteiligung (Medizinische Fakultät)"
21;Welche Nebenfächer im Rahmen des Bachelorstudiums Geographie werden von der WiSo-Fakultät angeboten?;Im Bachelorstudiengang Geographie bietet die WiSo-Fakultät in folgenden Bereichen Angebote für die Nebenfächer an: Betriebswirtschaftslehre, Volkswirtschaftslehre und Sozialwissenschaften;https://wiso.uni-koeln.de/de/studium/bachelor;Bachelor-Studium;easy;"Im Rahmen des Studiums Bachelor Geographie müssen Sie sich für zwei Nebenfächer entscheiden. Hier stehen Ihnen auch Angebote der WiSo-Fakultät zur Verfügung:

Betriebswirtschaftslehre
Volkswirtschaftslehre
Sozialwissenschaften"
22;Welche Bewerbungsfristen gelten für das erste Fachsemester in den Bachelorstudiengängen der WiSo-Fakultät und welche Bachelorstudiengänge starten auch im Sommersemester?;Für das erste Fachsemester in den Bachelorstudiengängen der WiSo-Fakultät gilt regulär der 15. Juli als Bewerbungsfrist für das Wintersemester und der 15. Januar für das Sommersemester.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bachelor-Studium;easy;"Bewerbung zum ersten Fachsemester
Regulär gilt der 15. Juli/15. Januar als Bewerbungsfrist für das Winter- bzw. Sommersemester. "
23;Für welche Bachelorstudiengänge der WiSo-Fakultät ist ein Studienstart auch im Sommersemester möglich?;Ein Studienstart im Sommersemester ist nur in den Bachelorstudiengängen Betriebswirtschaftslehre und Volkswirtschaftslehre möglich.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bachelor-Studium;easy;Bitte beachten Sie, dass nur die Bachelorstudiengänge Betriebs- und Volkswirtschaftslehre zusätzlich auch im Sommersemester angeboten werden.
24;Wo finden internationale Studieninteressierte Informationen zum Bewerbungsverfahren für einen WiSo-Bachelor?;Internationale Studieninteressierte sollen sich vor der Bewerbung beim International Office der Universität zu Köln über das Bewerbungsverfahren informieren. Der Link zum International Office ist auf der WiSo-Bachelor-Bewerbungsseite hinterlegt.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bachelor-Studium;easy;"Wie bewerbe ich mich richtig?
Bewerbung zum ersten Fachsemester
Regulär gilt der 15. Juli/15. Januar als Bewerbungsfrist für das Winter- bzw. Sommersemester. Bitte beachten Sie, dass nur die Bachelorstudiengänge Betriebs- und Volkswirtschaftslehre zusätzlich auch im Sommersemester angeboten werden. Umfangreiche Informationen zum Bewerbungsverfahren finden Sie hier. Internationale Studierende informieren sich bitte vorab beim International Office der Universität zu Köln über das Bewerbungsverfahren."
25;Was ist für eine Bewerbung in ein höheres Fachsemester eines Bachelorstudiengangs an der WiSo-Fakultät erforderlich?;Für die Bewerbung auf ein höheres Fachsemester in einem Bachelorstudiengang der WiSo-Fakultät benötigen Sie zwei Bescheinigungen: einen Nachweis darüber, ob Sie als Ortswechsler:in oder Quereinsteiger:in eingestuft werden, und eine Fachsemestereinstufung. Beide Bescheinigungen stellt das Prüfungsamt der WiSo-Fakultät auf Antrag aus.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bachelor-Studium;medium;"Bewerbung zum höheren Fachsemester
Grundlegende Informationen über die Bewerbung zum höheren Fachsemester für Bachelorstudiengänge finden Sie hier.

Wichtig: Für die Bewerbung auf ein höheres Fachsemester benötigen Sie zwei Bescheinigung (Nachweis über den Status Ortswechsel/Quereinstieg und die Fachsemestereinstufung). Beide Bescheinigungen stellt Ihnen das Prüfungsamt der WiSo-Fakultät auf Antrag aus. Weiterführende Informationen zur Antragsstellung finden Sie hier."
26;Unter welchen Voraussetzungen ist ein Studium an der WiSo-Fakultät auch ohne Abitur möglich?;Auch ohne Abitur kannst du an der WiSo-Fakultät studieren, wenn du in der beruflichen Bildung qualifiziert bist und bestimmte Voraussetzungen erfüllst. Je nach deiner beruflichen Vorbildung gibt es unterschiedliche Möglichkeiten des Hochschulzugangs. Die genauen Regelungen zu den verschiedenen Bewerbergruppen und Verfahren findest du auf den verlinkten Informationsseiten der zentralen Universitätsverwaltung.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Bachelor-Studium;medium;"Bewerbung als beruflich Qualifizierte ohne Abitur
Auch ohne Abitur können Sie als in der beruflichen Bildung Qualifizierte unter bestimmten Voraussetzungen studieren. Je nach beruflicher Vorbildung variieren die Möglichkeiten in Hinblick auf den Hochschulzugang. Informationen zu den verschiedenen Bewerbergruppen und Bewerbungsverfahren stehen Ihnen hier zur Verfügung."
27;An wen können sich Studieninteressierte wenden, wenn sie noch Fragen zu WiSo-Bachelorstudiengängen und Bewerbungsverfahren haben?;Bei offenen Fragen zu den Studiengängen und zum Bewerbungsverfahren können sich Studieninteressierte an den WiSo Student Service Point wenden – entweder in einem persönlichen Gespräch, telefonisch oder über ein Anfragenformular.;https://wiso.uni-koeln.de/de/studium/bewerbung/bachelor;Services/Info;easy;"Kontakt
Haben Sie noch Fragen zu unseren Studiengängen und dem Bewerbungsverfahren? Gerne beantworten wir Ihnen diese im WiSo Student Service Point in einem persönlichen Gespräch/Telefonat oder über unser Anfragenformular."
28;Wie ist das Bewerbungs- und Zulassungsverfahren für Masterstudiengänge an der WiSo-Fakultät grundsätzlich geregelt?;Die Masterstudiengänge der WiSo-Fakultät starten jedes Jahr zum Wintersemester, und die Bewerbung ist daher üblicherweise von Anfang bis Mitte des Jahres möglich. Zusätzlich ist es wichtig, die allgemeinen Informationen zum Bewerbungs- und Zulassungsprozess sowie die studiengangsspezifischen Hinweise zu Ihrem Wunschstudiengang sorgfältig zu lesen.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Master-Studium;medium;"Bewerbungs- und Zulassungsverfahren für die Masterstudiengänge
Allgemeine Informationen
Unsere Masterprogramme starten jährlich zum Wintersemester, die Bewerbung findet daher Anfang bis Mitte des Jahres statt. Lesen Sie die allgemeinen Informationen zum Bewerbungs- und Zulassungsprozess sowie die studiengangspezifischen Informationen zu Ihrem Wunschstudiengang sorgfältig durch."
29;Was genau ist der „Master-Virtuelle Infotag“ der WiSo-Fakultät?;Der Master-Virtuelle Infotag ist ein virtuelles Info-Event der WiSo-Fakultät, das online über Zoom und auf Englisch stattfindet. Dabei erhältst du einen Insider-Einblick in das Studium und Studierendenleben an der WiSo sowie in den Bewerbungs- und Zulassungsprozess für die Masterprogramme.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Master-Studium;medium;"Master-Virtueller Infotag am 26. November 2025 um 17:00 Uhr
Wir laden dich herzlich ein zum Virtuellen Infotag, ein exklusives Event, das dir einen Insider-Einblick in das Studium und das Studentenleben sowie in den Bewerbungs- und Zulassungsprozess an der WiSo-Fakultät bietet. 
Datum: 26. November | Zeit: 17:00 -18:30 | Ort: ZOOM | Sprache: English"
30;Wo finden Interessierte studiengangsspezifische Informationen zu einzelnen WiSo-Masterprogrammen, etwa zum Master Information Systems?;Studiengangsspezifische Informationen zu den einzelnen WiSo-Masterprogrammen findest du auf der Master-Bewerbungsseite im Abschnitt „Studiengangsspezifische Informationen“. Dort sind alle Masterstudiengänge – unter anderem auch der Master Information Systems – jeweils mit eigenen Informationsseiten verlinkt.;https://wiso.uni-koeln.de/de/studium/bewerbung/master;Master-Studium;easy;"Studiengangsspezifische Informationen
International Management (CEMS MIM)
Business Administration
Double Master's Programme Business Administration
Business Analytics and Econometrics
Economics
Double Master's Programme Economics
Economic Research
Gesundheitsökonomie
Double Master's Programme Health Economics and Management
Information Systems
Political Science
Double Master's Programme European Studies
Sociology: Social and Economic Psychology
Sociology: Social Research
Double Master's Programme Demography and Social Inequality
Höheres Fachsemester"
31;Welche Eckdaten (Abschluss, Dauer, Credits, Sprache, Internationales) zum Master Information Systems kannst du mir nennen?;Der Master Information Systems schließt mit einem Master of Science ab, dauert vier Semester in Vollzeit und umfasst 120 ECTS. Die Unterrichtssprache ist überwiegend Englisch, einzelne Kurse werden auf Deutsch angeboten. Es bestehen optionale internationale Elemente wie Auslandssemester und Summer Schools.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;medium;"Abschluss:	Master of Science
Dauer	4 Semester, Vollzeit
Credits:	120 ECTS
Sprache:	Englisch und Deutsch (in ausgewählten Kursen)
Inhalt:	Interdisziplinäre Disziplin der Betriebswirtschaftslehre und Informatik, die sich mit der Konzeption, Entwicklung und Anwendung von Informationssystemen in Wirtschaft, Verwaltung und zunehmend auch im privaten Bereich beschäftigt.
International:	Auslandssemester, Summer School (optional)"
32;Worum geht es inhaltlich im Studiengang Master Information Systems?;Im Master Information Systems beschäftigst du dich mit Wirtschaftsinformatik als interdisziplinärem Fachgebiet an der Schnittstelle von Betriebswirtschaftslehre und Informatik. Im Mittelpunkt steht die Konzeption, Entwicklung und Anwendung von Informationssystemen in Unternehmen, Verwaltung und zunehmend auch im privaten Bereich.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;easy;Interdisziplinäre Disziplin der Betriebswirtschaftslehre und Informatik, die sich mit der Konzeption, Entwicklung und Anwendung von Informationssystemen in Wirtschaft, Verwaltung und zunehmend auch im privaten Bereich beschäftigt.
